-33,-33,-33,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33
-33,-33,-29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,-31,-33,-33,-33,-33,-33,-25,-25,-25,-25,-25,-33,-33,-33,-33,-33
-33,-25,-21,2,2,2,2,2,-22,-24,-24,-24,-24,-24,-24,-24,-20,2,2,2,2,2,-22,-24,-24,-24,-20,2,2,2,2,2,-22,-24,-24,-24,-24,-24,-20,2,2,2,2,2,-23,-25,-25,-25,-25,-21,2,2,2,2,2,-31,-33,-33,-33,-33
-29,2,4,2,2,9,2,2,2,2,2,2,2,2,2,4,2,2,2,9,2,2,2,4,2,2,2,2,2,9,2,2,2,5,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,-31,-33,-33,-33,-33
-29,2,-26,2,2,2,2,2,-30,-32,-32,-32,-32,-32,-32,-32,-28,2,2,2,2,2,-30,-32,-32,-32,-28,2,2,2,2,2,-30,-32,-32,-32,-32,-32,-28,2,2,2,2,2,-30,-32,-32,-32,-32,-28,2,2,9,2,2,-31,-33,-33,-33,-33
-29,2,-27,2,2,2,2,2,-31,-33,-33,-33,-33,-33,-33,-33,-29,2,2,2,2,2,-31,-33,-33,-33,-29,2,2,2,2,2,-31,-33,-33,-33,-33,-33,-29,2,2,2,2,2,-31,-33,-33,-33,-33,-29,2,2,2,2,2,-31,-33,-33,-33,-33
-29,5,-27,2,-26,2,-26,2,-31,-33,-33,-33,-33,-33,-33,-33,-33,-32,-32,-32,-32,-32,-33,-33,-33,-33,-33,-32,-32,-32,-32,-32,-33,-33,-33,-33,-33,-33,-33,-32,-32,-32,-32,-32,-33,-33,-33,-33,-33,-29,2,2,2,2,2,-31,-33,-33,-33,-33
-29,2,-27,4,-27,2,-27,2,-31,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-32,-28,2,-30,-32,-33,-33,-33,-33,-33
-29,2,-27,2,-27,2,-27,2,-31,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-29,2,-31,-33,-33,-33,-33,-33,-33
-29,2,-27,2,-27,2,-27,2,-31,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-21,2,-23,-25,-25,-25,-25,-33,-33
